slug,name,title,email,phone,bioUrl,contactUrl,headshotUrl,xUrl,instagramUrl,linkedinUrl,isHeadCoach,reviewStatus
george-washington-university,Tyler Kavanaugh,Associate Head Coach,,,https://gwsports.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
george-washington-university,Ramon Garza,Assistant Coach,,,https://gwsports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-washington-university,Susannah Ellis,Director of Baseball Operations,,,https://gwsports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-josephs-university,Doc Neiman,Assistant Coach,,,https://sjuhawks.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-josephs-university,Scott Boches,Assistant Coach,,,https://sjuhawks.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-josephs-university,Lee Saverio,Assistant Coach,,,https://sjuhawks.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-louis-university,Joe Costanzo,Assistant Coach,,,https://slubillikens.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-louis-university,Mike Farrell,Pitching Coach,,,https://slubillikens.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
saint-louis-university,David Olson,Hitting Coach,,,https://slubillikens.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-dayton,Pete Sass,Assistant Coach,,,https://daytonflyers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-dayton,Josh Roberge,Assistant Coach,,,https://daytonflyers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-dayton,Chase Allen,Assistant Coach,,,https://daytonflyers.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-rhode-island,Blaine Lidsky,Assistant Coach,,,https://gorhody.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-rhode-island,Daniel Palka,Assistant Coach,,,https://gorhody.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-rhode-island,David Fischer,Pitching Coach,,,https://gorhody.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-richmond,,,,,https://richmondspiders.com/sports/baseball,,,,,,false,NO_CANDIDATES_FOUND
